time,tst-15.1,tst-15.2,tst-15.3,tst-15.4,tst-15.5,tst-15.6,tst-15.7,tst-15.8,tst-15.9,tst-15.10,tst-15.11,tst-15.12,tst-15.13,tst-15.14
100,0.000417245,0.000434715,0.000548241,0.000588827,0.000757766,0.000835914,0.001061811,0.001190574,0.001457582,0.001647913,0.004133246,0.004724326,0.006912362,0.00787618
101,0.000417239,0.00043471,0.000548236,0.000588824,0.000757804,0.000835962,0.001062182,0.001191009,0.00145901,0.001649572,0.004153795,0.004748023,0.006960865,0.007931845
102,0.000417231,0.000434704,0.00054823,0.000588819,0.000757839,0.000836007,0.001062536,0.001191423,0.001460389,0.001651175,0.00417411,0.004771449,0.007009071,0.00798713
103,0.000417228,0.000434703,0.000548228,0.000588818,0.000757874,0.00083605,0.001062876,0.00119182,0.001461725,0.001652725,0.004194193,0.004794608,0.007056982,0.008042036
104,0.000417227,0.000434702,0.000548227,0.000588817,0.000757908,0.00083609,0.001063202,0.0011922,0.001463017,0.001654225,0.004214048,0.004817503,0.007104606,0.008096574
105,0.000417222,0.000434697,0.000548223,0.000588813,0.000757937,0.000836126,0.001063511,0.001192561,0.001464265,0.001655674,0.004233678,0.004840137,0.007151941,0.008150751
106,0.000417215,0.000434692,0.000548217,0.000588809,0.000757963,0.00083616,0.001063805,0.001192906,0.001465471,0.001657075,0.004253083,0.004862512,0.007198998,0.008204576
107,0.000417212,0.00043469,0.000548214,0.000588807,0.00075799,0.000836193,0.001064089,0.001193237,0.001466639,0.00165843,0.004272268,0.004884632,0.007245781,0.008258057
108,0.000417211,0.000434689,0.000548213,0.000588806,0.000758016,0.000836223,0.00106436,0.001193553,0.001467769,0.00165974,0.004291235,0.0049065,0.007292297,0.008311208
109,0.000417206,0.000434685,0.000548209,0.000588802,0.000758038,0.000836251,0.001064617,0.001193854,0.001468859,0.001661006,0.004309986,0.004928118,0.007338545,0.008364038
110,0.000417199,0.000434681,0.000548203,0.000588799,0.000758057,0.000836277,0.001064862,0.001194141,0.001469913,0.00166223,0.004328523,0.004949488,0.007384534,0.00841656
111,0.000417196,0.000434679,0.000548201,0.000588797,0.000758077,0.000836301,0.001065098,0.001194416,0.001470934,0.001663414,0.004346849,0.004970614,0.007430268,0.008468782
112,0.000417195,0.000434678,0.000548199,0.000588795,0.000758096,0.000836325,0.001065324,0.001194679,0.001471921,0.001664558,0.004364965,0.004991499,0.00747575,0.008520716
113,0.00041719,0.000434674,0.000548195,0.000588792,0.000758112,0.000836346,0.001065538,0.001194929,0.001472875,0.001665665,0.004382876,0.005012145,0.007520981,0.00857237
114,0.000417185,0.00043467,0.00054819,0.000588789,0.000758126,0.000836365,0.001065742,0.001195168,0.001473796,0.001666734,0.004400581,0.005032554,0.007565965,0.008623754
115,0.000417182,0.000434668,0.000548188,0.000588787,0.000758141,0.000836384,0.001065938,0.001195397,0.001474688,0.001667768,0.004418083,0.005052729,0.007610704,0.00867487
116,0.000417181,0.000434667,0.000548186,0.000588785,0.000758156,0.000836401,0.001066126,0.001195616,0.001475551,0.001668768,0.004435387,0.005072674,0.0076552,0.008725729
117,0.000417176,0.000434664,0.000548182,0.000588782,0.000758168,0.000836417,0.001066304,0.001195824,0.001476385,0.001669735,0.004452492,0.00509239,0.00769945,0.008776331
118,0.000417171,0.00043466,0.000548178,0.000588779,0.000758178,0.000836431,0.001066473,0.001196023,0.00147719,0.001670669,0.004469402,0.00511188,0.007743459,0.008826681
119,0.000417169,0.000434659,0.000548175,0.000588777,0.000758189,0.000836445,0.001066637,0.001196213,0.00147797,0.001671573,0.004486118,0.005131147,0.007787225,0.008876777
120,0.000417167,0.000434657,0.000548173,0.000588775,0.000758199,0.000836459,0.001066793,0.001196395,0.001478724,0.001672446,0.004502643,0.005150195,0.00783075,0.008926624
121,0.000417163,0.000434654,0.00054817,0.000588773,0.000758208,0.00083647,0.001066941,0.001196569,0.001479453,0.001673291,0.00451898,0.005169024,0.007874029,0.008976216
